Cell,Formula
AB129,"=IFERROR(IF(VLOOKUP($B129,Shortage!$A:$M,AB$2,FALSE)=""Shortage"",1,IFERROR(ROUND(P129/D129,4),0)),IFERROR(ROUND(P129/D129,4),0))"
AC129,"=IFERROR(IF(VLOOKUP($B129,Shortage!$A:$M,AC$2,FALSE)=""Shortage"",1,IFERROR(ROUND(Q129/E129,4),0)),IFERROR(ROUND(Q129/E129,4),0))"
AD129,"=IFERROR(IF(VLOOKUP($B129,Shortage!$A:$M,AD$2,FALSE)=""Shortage"",1,IFERROR(ROUND(R129/F129,4),0)),IFERROR(ROUND(R129/F129,4),0))"
AE129,"=IFERROR(IF(VLOOKUP($B129,Shortage!$A:$M,AE$2,FALSE)=""Shortage"",1,IFERROR(ROUND(S129/G129,4),0)),IFERROR(ROUND(S129/G129,4),0))"
AF129,"=IFERROR(IF(VLOOKUP($B129,Shortage!$A:$M,AF$2,FALSE)=""Shortage"",1,IFERROR(ROUND(T129/H129,4),0)),IFERROR(ROUND(T129/H129,4),0))"
AG129,"=IFERROR(IF(VLOOKUP($B129,Shortage!$A:$M,AG$2,FALSE)=""Shortage"",1,IFERROR(ROUND(U129/I129,4),0)),IFERROR(ROUND(U129/I129,4),0))"
AH129,"=IFERROR(IF(VLOOKUP($B129,Shortage!$A:$M,AH$2,FALSE)=""Shortage"",1,IFERROR(ROUND(V129/J129,4),0)),IFERROR(ROUND(V129/J129,4),0))"
AI129,"=IFERROR(IF(VLOOKUP($B129,Shortage!$A:$M,AI$2,FALSE)=""Shortage"",1,IFERROR(ROUND(W129/K129,4),0)),IFERROR(ROUND(W129/K129,4),0))"
AJ129,"=IFERROR(IF(VLOOKUP($B129,Shortage!$A:$M,AP$2,FALSE)=""Shortage"",1,IFERROR(ROUND(X129/L129,4),0)),IFERROR(ROUND(X129/L129,4),0))"
AK129,"=IFERROR(IF(VLOOKUP($B129,Shortage!$A:$M,AK$2,FALSE)=""Shortage"",1,IFERROR(ROUND(Y129/M129,4),0)),IFERROR(ROUND(Y129/M129,4),0))"
AL129,"=IFERROR(IF(VLOOKUP($B129,Shortage!$A:$M,AL$2,FALSE)=""Shortage"",1,IFERROR(ROUND(Z129/N129,4),0)),IFERROR(ROUND(Z129/N129,4),0))"
AM129,"=IFERROR(IF(VLOOKUP($B129,Shortage!$A:$M,AM$2,FALSE)=""Shortage"",1,IFERROR(ROUND(AA129/O129,4),0)),IFERROR(ROUND(AA129/O129,4),0))"
AN129,"=IFERROR(IF($C129=""Top WS"",VLOOKUP(""GOAL"",'2) หลักการคำนวน Table'!$D$4:$M$4,HLOOKUP(AB129,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C129=""WS SF"",VLOOKUP(""GOAL"",'2) หลักการคำนวน Table'!$D$32:$M$32,HLOOKUP(AB129,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C129=""WS WH"",VLOOKUP(""GOAL"",'2) หลักการคำนวน Table'!$D$62:$M$62,HLOOKUP(AB129,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C129=""SF WH"",VLOOKUP(""GOAL"",'2) หลักการคำนวน Table'!$D$92:$M$92,HLOOKUP(AB129,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0))))),0)"
AO129,"=IFERROR(IF($C129=""Top WS"",VLOOKUP(""GOAL"",'2) หลักการคำนวน Table'!$D$4:$M$4,HLOOKUP(AC129,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C129=""WS SF"",VLOOKUP(""GOAL"",'2) หลักการคำนวน Table'!$D$32:$M$32,HLOOKUP(AC129,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C129=""WS WH"",VLOOKUP(""GOAL"",'2) หลักการคำนวน Table'!$D$62:$M$62,HLOOKUP(AC129,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C129=""SF WH"",VLOOKUP(""GOAL"",'2) หลักการคำนวน Table'!$D$92:$M$92,HLOOKUP(AC129,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0))))),0)"
AP129,"=IFERROR(IF($C129=""Top WS"",VLOOKUP(""GOAL"",'2) หลักการคำนวน Table'!$D$4:$M$4,HLOOKUP(AD129,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C129=""WS SF"",VLOOKUP(""GOAL"",'2) หลักการคำนวน Table'!$D$32:$M$32,HLOOKUP(AD129,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C129=""WS WH"",VLOOKUP(""GOAL"",'2) หลักการคำนวน Table'!$D$62:$M$62,HLOOKUP(AD129,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C129=""SF WH"",VLOOKUP(""GOAL"",'2) หลักการคำนวน Table'!$D$92:$M$92,HLOOKUP(AD129,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0))))),0)"
AQ129,"=IFERROR(IF($C129=""Top WS"",VLOOKUP(""GOAL"",'2) หลักการคำนวน Table'!$D$4:$M$4,HLOOKUP(AE129,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C129=""WS SF"",VLOOKUP(""GOAL"",'2) หลักการคำนวน Table'!$D$32:$M$32,HLOOKUP(AE129,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C129=""WS WH"",VLOOKUP(""GOAL"",'2) หลักการคำนวน Table'!$D$62:$M$62,HLOOKUP(AE129,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C129=""SF WH"",VLOOKUP(""GOAL"",'2) หลักการคำนวน Table'!$D$92:$M$92,HLOOKUP(AE129,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0))))),0)"
AR129,"=IFERROR(IF($C129=""Top WS"",VLOOKUP(""GOAL"",'2) หลักการคำนวน Table'!$D$4:$M$4,HLOOKUP(AF129,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C129=""WS SF"",VLOOKUP(""GOAL"",'2) หลักการคำนวน Table'!$D$32:$M$32,HLOOKUP(AF129,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C129=""WS WH"",VLOOKUP(""GOAL"",'2) หลักการคำนวน Table'!$D$62:$M$62,HLOOKUP(AF129,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C129=""SF WH"",VLOOKUP(""GOAL"",'2) หลักการคำนวน Table'!$D$92:$M$92,HLOOKUP(AF129,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0))))),0)"
AS129,"=IFERROR(IF($C129=""Top WS"",VLOOKUP(""GOAL"",'2) หลักการคำนวน Table'!$D$4:$M$4,HLOOKUP(AG129,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C129=""WS SF"",VLOOKUP(""GOAL"",'2) หลักการคำนวน Table'!$D$32:$M$32,HLOOKUP(AG129,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C129=""WS WH"",VLOOKUP(""GOAL"",'2) หลักการคำนวน Table'!$D$62:$M$62,HLOOKUP(AG129,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C129=""SF WH"",VLOOKUP(""GOAL"",'2) หลักการคำนวน Table'!$D$92:$M$92,HLOOKUP(AG129,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0))))),0)"
AT129,"=IFERROR(IF($C129=""Top WS"",VLOOKUP(""GOAL"",'2) หลักการคำนวน Table'!$D$4:$M$4,HLOOKUP(AH129,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C129=""WS SF"",VLOOKUP(""GOAL"",'2) หลักการคำนวน Table'!$D$32:$M$32,HLOOKUP(AH129,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C129=""WS WH"",VLOOKUP(""GOAL"",'2) หลักการคำนวน Table'!$D$62:$M$62,HLOOKUP(AH129,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C129=""SF WH"",VLOOKUP(""GOAL"",'2) หลักการคำนวน Table'!$D$92:$M$92,HLOOKUP(AH129,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0))))),0)"
AU129,"=IFERROR(IF($C129=""Top WS"",VLOOKUP(""GOAL"",'2) หลักการคำนวน Table'!$D$4:$M$4,HLOOKUP(AI129,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C129=""WS SF"",VLOOKUP(""GOAL"",'2) หลักการคำนวน Table'!$D$32:$M$32,HLOOKUP(AI129,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C129=""WS WH"",VLOOKUP(""GOAL"",'2) หลักการคำนวน Table'!$D$62:$M$62,HLOOKUP(AI129,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C129=""SF WH"",VLOOKUP(""GOAL"",'2) หลักการคำนวน Table'!$D$92:$M$92,HLOOKUP(AI129,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0))))),0)"
AV129,"=IFERROR(IF($C129=""Top WS"",VLOOKUP(""GOAL"",'2) หลักการคำนวน Table'!$D$4:$M$4,HLOOKUP(AP129,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C129=""WS SF"",VLOOKUP(""GOAL"",'2) หลักการคำนวน Table'!$D$32:$M$32,HLOOKUP(AP129,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C129=""WS WH"",VLOOKUP(""GOAL"",'2) หลักการคำนวน Table'!$D$62:$M$62,HLOOKUP(AP129,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C129=""SF WH"",VLOOKUP(""GOAL"",'2) หลักการคำนวน Table'!$D$92:$M$92,HLOOKUP(AP129,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0))))),0)"
AW129,"=IFERROR(IF($C129=""Top WS"",VLOOKUP(""GOAL"",'2) หลักการคำนวน Table'!$D$4:$M$4,HLOOKUP(AK129,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C129=""WS SF"",VLOOKUP(""GOAL"",'2) หลักการคำนวน Table'!$D$32:$M$32,HLOOKUP(AK129,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C129=""WS WH"",VLOOKUP(""GOAL"",'2) หลักการคำนวน Table'!$D$62:$M$62,HLOOKUP(AK129,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C129=""SF WH"",VLOOKUP(""GOAL"",'2) หลักการคำนวน Table'!$D$92:$M$92,HLOOKUP(AK129,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0))))),0)"
AX129,"=IFERROR(IF($C129=""Top WS"",VLOOKUP(""GOAL"",'2) หลักการคำนวน Table'!$D$4:$M$4,HLOOKUP(AL129,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C129=""WS SF"",VLOOKUP(""GOAL"",'2) หลักการคำนวน Table'!$D$32:$M$32,HLOOKUP(AL129,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C129=""WS WH"",VLOOKUP(""GOAL"",'2) หลักการคำนวน Table'!$D$62:$M$62,HLOOKUP(AL129,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C129=""SF WH"",VLOOKUP(""GOAL"",'2) หลักการคำนวน Table'!$D$92:$M$92,HLOOKUP(AL129,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0))))),0)"
AY129,"=IFERROR(IF($C129=""Top WS"",VLOOKUP(""GOAL"",'2) หลักการคำนวน Table'!$D$4:$M$4,HLOOKUP(AM129,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C129=""WS SF"",VLOOKUP(""GOAL"",'2) หลักการคำนวน Table'!$D$32:$M$32,HLOOKUP(AM129,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C129=""WS WH"",VLOOKUP(""GOAL"",'2) หลักการคำนวน Table'!$D$62:$M$62,HLOOKUP(AM129,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C129=""SF WH"",VLOOKUP(""GOAL"",'2) หลักการคำนวน Table'!$D$92:$M$92,HLOOKUP(AM129,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0))))),0)"
AZ129,"=IFERROR(IF($C129=""Top WS"",VLOOKUP($B129,'2) หลักการคำนวน Table'!$D$5:$M$20,HLOOKUP(AB129,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C129=""WS SF"",VLOOKUP($B129,'2) หลักการคำนวน Table'!$D$33:$M$48,HLOOKUP(AB129,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C129=""WS WH"",VLOOKUP($B129,'2) หลักการคำนวน Table'!$D$63:$M$78,HLOOKUP(AB129,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C129=""SF WH"",VLOOKUP($B129,'2) หลักการคำนวน Table'!$D$93:$M$108,HLOOKUP(AB129,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0))))),0)"
BA129,"=IFERROR(IF($C129=""Top WS"",VLOOKUP($B129,'2) หลักการคำนวน Table'!$D$5:$M$20,HLOOKUP(AC129,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C129=""WS SF"",VLOOKUP($B129,'2) หลักการคำนวน Table'!$D$33:$M$48,HLOOKUP(AC129,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C129=""WS WH"",VLOOKUP($B129,'2) หลักการคำนวน Table'!$D$63:$M$78,HLOOKUP(AC129,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C129=""SF WH"",VLOOKUP($B129,'2) หลักการคำนวน Table'!$D$93:$M$108,HLOOKUP(AC129,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0))))),0)"
BB129,"=IFERROR(IF($C129=""Top WS"",VLOOKUP($B129,'2) หลักการคำนวน Table'!$D$5:$M$20,HLOOKUP(AD129,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C129=""WS SF"",VLOOKUP($B129,'2) หลักการคำนวน Table'!$D$33:$M$48,HLOOKUP(AD129,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C129=""WS WH"",VLOOKUP($B129,'2) หลักการคำนวน Table'!$D$63:$M$78,HLOOKUP(AD129,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C129=""SF WH"",VLOOKUP($B129,'2) หลักการคำนวน Table'!$D$93:$M$108,HLOOKUP(AD129,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0))))),0)"
BC129,"=IFERROR(IF($C129=""Top WS"",VLOOKUP($B129,'2) หลักการคำนวน Table'!$D$5:$M$20,HLOOKUP(AE129,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C129=""WS SF"",VLOOKUP($B129,'2) หลักการคำนวน Table'!$D$33:$M$48,HLOOKUP(AE129,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C129=""WS WH"",VLOOKUP($B129,'2) หลักการคำนวน Table'!$D$63:$M$78,HLOOKUP(AE129,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C129=""SF WH"",VLOOKUP($B129,'2) หลักการคำนวน Table'!$D$93:$M$108,HLOOKUP(AE129,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0))))),0)"
BD129,"=IFERROR(IF($C129=""Top WS"",VLOOKUP($B129,'2) หลักการคำนวน Table'!$D$5:$M$20,HLOOKUP(AF129,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C129=""WS SF"",VLOOKUP($B129,'2) หลักการคำนวน Table'!$D$33:$M$48,HLOOKUP(AF129,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C129=""WS WH"",VLOOKUP($B129,'2) หลักการคำนวน Table'!$D$63:$M$78,HLOOKUP(AF129,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C129=""SF WH"",VLOOKUP($B129,'2) หลักการคำนวน Table'!$D$93:$M$108,HLOOKUP(AF129,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0))))),0)"
BE129,"=IFERROR(IF($C129=""Top WS"",VLOOKUP($B129,'2) หลักการคำนวน Table'!$D$5:$M$20,HLOOKUP(AG129,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C129=""WS SF"",VLOOKUP($B129,'2) หลักการคำนวน Table'!$D$33:$M$48,HLOOKUP(AG129,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C129=""WS WH"",VLOOKUP($B129,'2) หลักการคำนวน Table'!$D$63:$M$78,HLOOKUP(AG129,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C129=""SF WH"",VLOOKUP($B129,'2) หลักการคำนวน Table'!$D$93:$M$108,HLOOKUP(AG129,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0))))),0)"
BF129,"=IFERROR(IF($C129=""Top WS"",VLOOKUP($B129,'2) หลักการคำนวน Table'!$D$5:$M$20,HLOOKUP(AH129,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C129=""WS SF"",VLOOKUP($B129,'2) หลักการคำนวน Table'!$D$33:$M$48,HLOOKUP(AH129,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C129=""WS WH"",VLOOKUP($B129,'2) หลักการคำนวน Table'!$D$63:$M$78,HLOOKUP(AH129,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C129=""SF WH"",VLOOKUP($B129,'2) หลักการคำนวน Table'!$D$93:$M$108,HLOOKUP(AH129,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0))))),0)"
BG129,"=IFERROR(IF($C129=""Top WS"",VLOOKUP($B129,'2) หลักการคำนวน Table'!$D$5:$M$20,HLOOKUP(AI129,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C129=""WS SF"",VLOOKUP($B129,'2) หลักการคำนวน Table'!$D$33:$M$48,HLOOKUP(AI129,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C129=""WS WH"",VLOOKUP($B129,'2) หลักการคำนวน Table'!$D$63:$M$78,HLOOKUP(AI129,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C129=""SF WH"",VLOOKUP($B129,'2) หลักการคำนวน Table'!$D$93:$M$108,HLOOKUP(AI129,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0))))),0)"
BH129,"=IFERROR(IF($C129=""Top WS"",VLOOKUP($B129,'2) หลักการคำนวน Table'!$D$5:$M$20,HLOOKUP(AP129,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C129=""WS SF"",VLOOKUP($B129,'2) หลักการคำนวน Table'!$D$33:$M$48,HLOOKUP(AP129,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C129=""WS WH"",VLOOKUP($B129,'2) หลักการคำนวน Table'!$D$63:$M$78,HLOOKUP(AP129,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C129=""SF WH"",VLOOKUP($B129,'2) หลักการคำนวน Table'!$D$93:$M$108,HLOOKUP(AP129,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0))))),0)"
BI129,"=IFERROR(IF($C129=""Top WS"",VLOOKUP($B129,'2) หลักการคำนวน Table'!$D$5:$M$20,HLOOKUP(AK129,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C129=""WS SF"",VLOOKUP($B129,'2) หลักการคำนวน Table'!$D$33:$M$48,HLOOKUP(AK129,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C129=""WS WH"",VLOOKUP($B129,'2) หลักการคำนวน Table'!$D$63:$M$78,HLOOKUP(AK129,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C129=""SF WH"",VLOOKUP($B129,'2) หลักการคำนวน Table'!$D$93:$M$108,HLOOKUP(AK129,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0))))),0)"
BJ129,"=IFERROR(IF($C129=""Top WS"",VLOOKUP($B129,'2) หลักการคำนวน Table'!$D$5:$M$20,HLOOKUP(AL129,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C129=""WS SF"",VLOOKUP($B129,'2) หลักการคำนวน Table'!$D$33:$M$48,HLOOKUP(AL129,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C129=""WS WH"",VLOOKUP($B129,'2) หลักการคำนวน Table'!$D$63:$M$78,HLOOKUP(AL129,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C129=""SF WH"",VLOOKUP($B129,'2) หลักการคำนวน Table'!$D$93:$M$108,HLOOKUP(AL129,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0))))),0)"
BK129,"=IFERROR(IF($C129=""Top WS"",VLOOKUP($B129,'2) หลักการคำนวน Table'!$D$5:$M$20,HLOOKUP(AM129,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C129=""WS SF"",VLOOKUP($B129,'2) หลักการคำนวน Table'!$D$33:$M$48,HLOOKUP(AM129,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C129=""WS WH"",VLOOKUP($B129,'2) หลักการคำนวน Table'!$D$63:$M$78,HLOOKUP(AM129,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C129=""SF WH"",VLOOKUP($B129,'2) หลักการคำนวน Table'!$D$93:$M$108,HLOOKUP(AM129,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0))))),0)"
BM129,"=VLOOKUP(VLOOKUP(A129,ASTBase!E:S,13,FALSE),ASTBase!F:P,11,FALSE)"
BN129,"=INDEX(AN129:AY129,,Period!$D$2)"
P130,"=SUMIFS(Actual!C:C,Actual!$A:$A,'3)Target & Cal'!$A130,Actual!$B:$B,'3)Target & Cal'!$B130)"
Q130,"=SUMIFS(Actual!D:D,Actual!$A:$A,'3)Target & Cal'!$A130,Actual!$B:$B,'3)Target & Cal'!$B130)"
R130,"=SUMIFS(Actual!E:E,Actual!$A:$A,'3)Target & Cal'!$A130,Actual!$B:$B,'3)Target & Cal'!$B130)"
S130,"=SUMIFS(Actual!F:F,Actual!$A:$A,'3)Target & Cal'!$A130,Actual!$B:$B,'3)Target & Cal'!$B130)"
T130,"=SUMIFS(Actual!G:G,Actual!$A:$A,'3)Target & Cal'!$A130,Actual!$B:$B,'3)Target & Cal'!$B130)"
U130,"=SUMIFS(Actual!H:H,Actual!$A:$A,'3)Target & Cal'!$A130,Actual!$B:$B,'3)Target & Cal'!$B130)"
V130,"=SUMIFS(Actual!I:I,Actual!$A:$A,'3)Target & Cal'!$A130,Actual!$B:$B,'3)Target & Cal'!$B130)"
W130,"=SUMIFS(Actual!J:J,Actual!$A:$A,'3)Target & Cal'!$A130,Actual!$B:$B,'3)Target & Cal'!$B130)"
X130,"=SUMIFS(Actual!K:K,Actual!$A:$A,'3)Target & Cal'!$A130,Actual!$B:$B,'3)Target & Cal'!$B130)"
Y130,"=SUMIFS(Actual!L:L,Actual!$A:$A,'3)Target & Cal'!$A130,Actual!$B:$B,'3)Target & Cal'!$B130)"
Z130,"=SUMIFS(Actual!M:M,Actual!$A:$A,'3)Target & Cal'!$A130,Actual!$B:$B,'3)Target & Cal'!$B130)"
AA130,"=SUMIFS(Actual!N:N,Actual!$A:$A,'3)Target & Cal'!$A130,Actual!$B:$B,'3)Target & Cal'!$B130)"
AB130,"=IFERROR(IF(VLOOKUP($B130,Shortage!$A:$M,AB$2,FALSE)=""Shortage"",1,IFERROR(ROUND(P130/D130,4),0)),IFERROR(ROUND(P130/D130,4),0))"
AC130,"=IFERROR(IF(VLOOKUP($B130,Shortage!$A:$M,AC$2,FALSE)=""Shortage"",1,IFERROR(ROUND(Q130/E130,4),0)),IFERROR(ROUND(Q130/E130,4),0))"
AD130,"=IFERROR(IF(VLOOKUP($B130,Shortage!$A:$M,AD$2,FALSE)=""Shortage"",1,IFERROR(ROUND(R130/F130,4),0)),IFERROR(ROUND(R130/F130,4),0))"
AE130,"=IFERROR(IF(VLOOKUP($B130,Shortage!$A:$M,AE$2,FALSE)=""Shortage"",1,IFERROR(ROUND(S130/G130,4),0)),IFERROR(ROUND(S130/G130,4),0))"
AF130,"=IFERROR(IF(VLOOKUP($B130,Shortage!$A:$M,AF$2,FALSE)=""Shortage"",1,IFERROR(ROUND(T130/H130,4),0)),IFERROR(ROUND(T130/H130,4),0))"
AG130,"=IFERROR(IF(VLOOKUP($B130,Shortage!$A:$M,AG$2,FALSE)=""Shortage"",1,IFERROR(ROUND(U130/I130,4),0)),IFERROR(ROUND(U130/I130,4),0))"
AH130,"=IFERROR(IF(VLOOKUP($B130,Shortage!$A:$M,AH$2,FALSE)=""Shortage"",1,IFERROR(ROUND(V130/J130,4),0)),IFERROR(ROUND(V130/J130,4),0))"
AI130,"=IFERROR(IF(VLOOKUP($B130,Shortage!$A:$M,AI$2,FALSE)=""Shortage"",1,IFERROR(ROUND(W130/K130,4),0)),IFERROR(ROUND(W130/K130,4),0))"
AJ130,"=IFERROR(IF(VLOOKUP($B130,Shortage!$A:$M,AP$2,FALSE)=""Shortage"",1,IFERROR(ROUND(X130/L130,4),0)),IFERROR(ROUND(X130/L130,4),0))"
AK130,"=IFERROR(IF(VLOOKUP($B130,Shortage!$A:$M,AK$2,FALSE)=""Shortage"",1,IFERROR(ROUND(Y130/M130,4),0)),IFERROR(ROUND(Y130/M130,4),0))"
AL130,"=IFERROR(IF(VLOOKUP($B130,Shortage!$A:$M,AL$2,FALSE)=""Shortage"",1,IFERROR(ROUND(Z130/N130,4),0)),IFERROR(ROUND(Z130/N130,4),0))"
AM130,"=IFERROR(IF(VLOOKUP($B130,Shortage!$A:$M,AM$2,FALSE)=""Shortage"",1,IFERROR(ROUND(AA130/O130,4),0)),IFERROR(ROUND(AA130/O130,4),0))"
AN130,"=IFERROR(IF($C130=""Top WS"",VLOOKUP(""GOAL"",'2) หลักการคำนวน Table'!$D$4:$M$4,HLOOKUP(AB130,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C130=""WS SF"",VLOOKUP(""GOAL"",'2) หลักการคำนวน Table'!$D$32:$M$32,HLOOKUP(AB130,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C130=""WS WH"",VLOOKUP(""GOAL"",'2) หลักการคำนวน Table'!$D$62:$M$62,HLOOKUP(AB130,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C130=""SF WH"",VLOOKUP(""GOAL"",'2) หลักการคำนวน Table'!$D$92:$M$92,HLOOKUP(AB130,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0))))),0)"
